slug,name,skynet_score,market_cap,trading_vol_24h,volume_24h_display,volume_7d_display,all_time_volume,project_age_raw,project_founded_date,token_launch_age_raw,token_launch_date,has_website,website_url,has_github,github_url,has_twitter,twitter_url,has_discord,discord_url,has_telegram,telegram_url,ecosystems,audit_3p_count,audit_3p_records,has_certik_audit,certik_audit_count,certik_last_audit_date,certik_audit_names,certik_kyc,third_party_kyc,total_proposals,max_total_votes,major_holding_ratio,owner_holding_ratio
curve-dao-token,Curve,88.35,$323.77M,$55.78M,,,,6 yrs 5 mos,2020-01-20,5 yrs 10 mos,2020-08-20,1,https://curve.fi/#/ethereum/swap,1,https://github.com/curvefi,1,https://x.com/curvefinance,0,,1,https://t.me/curvefi,Ethereum,4,02/02/2024|Statemind; 10/30/2023|Statemind; 09/29/2021|Chainsecurity; 10/20/2020|QuantStamp,No,,,,No,No,,,16.70%,0.00%
Playnance,Playnance,88.32,$64.87M,$494.84K,,,,5 yrs 5 mos,2021-01-20,5 yrs 5 mos,2021-01-20,1,https://playnance.com/,1,https://github.com/playnance-games/upvsdown-smartcontract,1,https://x.com/playnance_,0,,0,,,0,,No,,,,,,,,,
bluefin,Bluefin,88.15,$5.39M,$1.92M,$10.09M,$84.36M,$35.64B,5 yrs 10 mos,2020-08-20,1 yrs 6 mos,2024-12-20,1,https://bluefin.io/,1,https://github.com/fireflyprotocol,1,https://twitter.com/bluefinapp,0,,1,https://t.me/bluefinapp,Arbitrum | Sui,6,02/25/2025|Asymptotic; 02/12/2025|Asymptotic; 12/06/2024|OtterSec; 11/02/2024|OtterSec; 06/05/2024|OtterSec; 06/23/2023|,No,,,,No,No,,,,
coreum,Coreum,87.94,$4.00M,$1.16K,,,,4 yrs 4 mos,2022-02-20,4 yrs 4 mos,2022-02-20,1,https://www.coreum.com/,1,https://github.com/CoreumFoundation/coreum/tree/4aab89ce54268f5b3dbbf82cb9fb53a8072ea561,1,https://twitter.com/CoreumOfficial,0,,1,https://t.me/CoreumOfficial,Cosmos,0,,Yes,3,,,No,No,,,,
orderly-network,Orderly Network,87.93,$14.70M,$4.90M,$0,$0,$839.1M,3 yrs 8 mos,2022-10-20,1 yrs 10 mos,2024-08-20,1,https://orderly.network/,1,https://github.com/OrderlyNetwork,1,https://twitter.com/OrderlyNetwork,0,,0,,Base | Ethereum,1,03/06/2025|Zellic,Yes,1,,,No,No,,,9.97%,0.00%
bancor,Bancor,87.61,$28.65M,$2.55M,"$7,674.00","$113,844.00",$561.81M,9 yrs 4 mos,2017-02-20,9 yrs 0 mos,2017-06-20,1,https://bancor.network/,1,https://github.com/bancorprotocol,1,https://twitter.com/bancor,1,https://discord.com/invite/bancor,1,https://t.me/bancor,Arbitrum,1,09/06/2022|OpenZeppelin,Yes,2,,,No,No,563,18M,6.27%,0.00%
bitcoin-com,Bitcoin.com,87.12,$1.02M,$34.86K,"$13,076.00","$96,979.00",$156.86M,3 yrs 6 mos,2022-12-20,3 yrs 6 mos,2022-12-20,1,https://www.bitcoin.com,0,,1,https://twitter.com/BitcoinCom,1,https://discord.com/invite/ZPCuDNDeK5,0,,Ethereum,0,,Yes,1,,,No,No,,,94.15%,0.00%
rubic-finance,Rubic,87.40,$662.16K,$82.97K,,,,5 yrs 9 mos,2020-09-20,5 yrs 9 mos,2020-09-20,1,https://rubic.finance,1,https://github.com/Cryptorubic,1,https://twitter.com/CryptoRubic,1,https://discord.com/invite/7EYzPbWKFQ,1,https://t.me/cryptorubic_chat,Avalanche | Bsc,0,,Yes,1,11/30/2021,Rubic Finance,No,No,,,61.40%,0.00%
zkswap-finance,zkSwap Finance,86.85,$265.25K,$42.88K,"$71,226.00","$405,365.00",$2.2B,3 yrs 3 mos,2023-03-20,0 yrs 0 mos,2026-06-20,1,https://zkswap.finance/,1,https://github.com/ZkSwapFinance,1,https://twitter.com/zkSwap_finance,1,https://discord.com/invite/zkswap-finance,1,https://t.me/zkSwap_Finance_Official,Zksync,0,,No,,,,,,,,,
dydx,dYdX,87.13,$4.79M,$3.70M,,,,4 yrs 11 mos,2021-07-20,4 yrs 11 mos,2021-07-20,1,https://dydx.exchange/,1,https://github.com/dydxfoundation/,1,https://x.com/dydx,1,https://discord.com/invite/dydx,0,,Ethereum,3,02/21/2021|Peckshield; 04/19/2020|OpenZeppelin; 04/30/2019|OpenZeppelin,No,,,,No,No,63,78M,79.40%,0.00%
edgex,edgeX,87.16,$117.75M,$10.45M,,,,2 yrs 7 mos,2023-11-20,0 yrs 0 mos,2026-06-20,1,https://www.edgex.exchange/en,0,,1,https://x.com/edgeX_exchange,0,,1,https://t.me/edgeX_exchange,,2,06/18/2025|Slowmist; 09/02/2024|RigSec,No,,,,No,No,,,55.79%,0.00%
0x,0x,86.85,$72.17M,$7.03M,,,,9 yrs 5 mos,2017-01-20,8 yrs 10 mos,2017-08-20,1,https://0x.org,1,https://github.com/0xProject,1,https://twitter.com/0xproject,0,,0,,Ethereum | Arbitrum,0,,No,,,,No,No,,,94.58%,0.00%
hanchain,HanChain,86.69,$14.50K,$663.33K,,,,4 yrs 4 mos,2022-02-20,4 yrs 4 mos,2022-02-20,1,https://khans.io/,1,https://github.com/hanchain-paykhan,1,https://twitter.com/HanIdentity,0,,1,https://t.me/hanchain_official,Ethereum | Optimism,0,,No,,,,,,,,99.80%,0.00%
dexcheck,DexCheck,86.65,$66.24K,$36.82K,,,,2 yrs 12 mos,2023-06-20,2 yrs 12 mos,2023-06-20,1,https://dexcheck.io/,0,,1,https://twitter.com/DexCheck_io,0,,1,https://t.me/dexcheck,Bsc,0,,No,,,,,,,,28.42%,0.00%
squidgrow,SquidGrow,86.34,$7.78M,$84.93K,,,,3 yrs 11 mos,2022-07-20,3 yrs 1 mos,2023-05-20,1,https://www.squidgrow.com,1,https://github.com/shibtoshi,1,https://twitter.com/squid_grow,0,,0,,Bsc | Ethereum,0,,Yes,14,,,No,No,,,36.80%,0.00%
injective,Injective,86.24,$505.37M,$82.66M,,,,7 yrs 7 mos,2018-11-20,5 yrs 8 mos,2020-10-20,1,https://injective.com/,1,https://github.com/InjectiveLabs,1,https://x.com/Injective,1,https://discord.com/invite/NK4qdbv,1,https://t.me/joininjective,Cosmos | Bsc,0,,Yes,1,,,No,No,,,24.40%,0.00%
aerodrome-finance,Aerodrome Finance,86.20,$432.25M,$51.63M,$447.34M,$2.96B,$393.93B,2 yrs 11 mos,2023-07-20,2 yrs 9 mos,2023-09-20,1,https://aerodrome.finance/,1,https://github.com/aerodrome-finance,1,https://x.com/AerodromeFi,1,https://discord.com/invite/aerodrome,0,,Base,0,,No,,,,No,No,,,0.00%,0.00%
meteora,Meteora,85.79,$66.18M,$7.59M,$204.18M,$1.04B,$319.48B,3 yrs 3 mos,2023-03-20,0 yrs 0 mos,2026-06-20,1,https://meteora.ag/,1,https://github.com/MeteoraAg,1,https://x.com/MeteoraAG,0,,1,https://t.me/MercurialFi,Solana,1,02/28/2024|OtterSec,No,,,,No,No,,,,
mmtfinance,Momentum,85.82,$28.96M,$7.70M,$2.08M,$13.3M,$30.95B,1 yrs 4 mos,2025-02-20,0 yrs 8 mos,2025-10-20,1,https://app.mmt.finance/,1,https://github.com/mmt-finance/clmm-sdk,1,https://x.com/MMTFinance,0,,0,,Sui,1,02/28/2025|Movebit,No,,,,No,No,,,,
apex-token,ApeX Protocol,85.43,$41.54M,$10.93M,,,,4 yrs 6 mos,2021-12-20,4 yrs 1 mos,2022-05-20,1,https://apex.exchange,1,https://github.com/ApeX-Protocol,1,https://x.com/OfficialApeXdex,0,,1,https://t.me/ApeXdex,Ethereum,1,01/23/2022|Blocksec,No,,,,No,No,,,47.57%,0.00%
railgun,Railgun,86.34,$34.01M,$618.75K,,,,5 yrs 4 mos,2021-02-20,4 yrs 11 mos,2021-07-20,1,https://railgun.org/,1,https://github.com/railgun-privacy,1,https://twitter.com/railgun_project,0,,1,https://t.me/railprice,Ethereum,1,02/03/2023|Zokyo,No,,,,No,No,,,79.55%,0.00%
aevo,AEVO,85.12,$16.76M,$3.48M,,,,3 yrs 10 mos,2022-08-20,2 yrs 4 mos,2024-02-20,1,https://www.aevo.xyz/,1,https://github.com/aevoxyz,1,https://twitter.com/aevoxyz,0,,0,,Ethereum,4,01/20/2024|Veridise; 10/25/2023|Veridise; 10/04/2023|Veridise; 10/07/2022|Spearbit,No,,,,No,No,38,24M,47.00%,0.00%
quickswap,QuickSwap[Old],84.94,$7.03M,$4.96K,"$449,145.00",$27.09M,$66.65B,5 yrs 8 mos,2020-10-20,5 yrs 8 mos,2020-10-20,1,https://quickswap.exchange,1,https://github.com/QuickSwap,1,https://twitter.com/QuickswapDEX,0,,0,,Ethereum | Polygon,1,02/12/2024|Cyberscope,No,,,,No,No,76,37M,97.85%,0.00%
perpetual-protocol,Perpetual Protocol,85.01,$1.27M,$76.64K,,,,6 yrs 5 mos,2020-01-20,5 yrs 9 mos,2020-09-20,1,https://perp.com/,1,https://github.com/perpetual-protocol,1,https://twitter.com/perpprotocol,1,https://discord.com/invite/mYKKRTn,1,https://t.me/perpetualprotocol,Optimism | Ethereum,1,03/21/2022|Trailofbits,No,,,,No,No,40,28M,31.46%,0.00%
loopring,Loopring,84.99,$18.89M,$1.88M,,,,8 yrs 12 mos,2017-06-20,7 yrs 2 mos,2019-04-20,1,https://loopring.org,1,https://github.com/loopring,1,https://twitter.com/loopringorg,0,,1,https://t.me/loopring_en,Ethereum,1,03/23/2021|Beosin,No,,,,No,No,14,26M,18.87%,0.00%
swisscheese-finance,Swisscheese Finance,84.95,$1.67M,$200.97K,,,,2 yrs 11 mos,2023-07-20,2 yrs 11 mos,2023-07-20,0,,0,,1,https://x.com/Swisscheese_fn,0,,1,https://t.me/swisscheesegroup,Arbitrum | Avalanche,0,,Yes,3,,,No,No,,,90.04%,0.00%
airswap,AirSwap,84.75,$767.88K,$110.80K,,,,9 yrs 2 mos,2017-04-20,8 yrs 8 mos,2017-10-20,1,https://www.airswap.io,1,https://github.com/airswap,1,https://twitter.com/airswap,0,,1,https://t.me/airswap,Ethereum,1,02/15/2022|Peckshield,No,,,,No,No,,,89.20%,0.00%
synapseprotocol,Synapse Protocol,84.84,$32.30M,$80.23M,,,,5 yrs 1 mos,2021-05-20,4 yrs 10 mos,2021-08-20,1,https://synapseprotocol.com/,1,https://github.com/synapsecns,1,https://twitter.com/SynapseProtocol,0,,1,https://t.me/synapseprotocol,Ethereum,0,,Yes,1,,,No,No,,,80.68%,0.00%
magma-finance,Magma Finance,84.82,$75.99M,$4.41M,,,,1 yrs 7 mos,2024-11-20,1 yrs 7 mos,2024-11-20,1,https://magmafinance.io/,1,https://github.com/MagmaFinanceIO,1,https://x.com/Magma_Finance,0,,0,,Sui,5,10/16/2025|MoveBit; 09/02/2025|MoveBit; 08/06/2025|Three Sigma; 01/31/2025|Zellic; 01/06/2025|MoveBit,No,,,,No,No,,,,
joe,LFJ(Trader Joe),85.09,$13.42M,$5.02M,,,,4 yrs 11 mos,2021-07-20,4 yrs 11 mos,2021-07-20,1,https://lfj.gg/,1,https://github.com/traderjoe-xyz/,1,https://x.com/LFJ_gg,0,,0,,Avalanche | Arbitrum,4,05/11/2023|Paladinsec; 04/02/2023|Paladinsec; 06/11/2022|Paladinsec; 10/05/2021|Paladinsec,No,,,,No,No,,,87.13%,2.48%
deepbook,DeepBook,84.53,$88.54M,$5.43M,$10.43M,$59.59M,$20.04B,4 yrs 10 mos,2021-08-20,2 yrs 2 mos,2024-04-20,1,https://deepbook.tech/,1,https://github.com/MystenLabs/deepbookv3,1,https://x.com/DeepBookonSui,1,https://discord.com/invite/deepbook,0,,Sui,0,,No,,,,No,No,,,,
quickswap-new,Quickswap[New],84.17,$5.28M,$860.71K,$6.37M,$47.07M,$39.55B,5 yrs 5 mos,2021-01-20,4 yrs 1 mos,2022-05-20,1,https://quickswap.exchange,1,https://github.com/QuickSwap,1,https://twitter.com/QuickswapDEX,0,,0,,Polygon | Ethereum,1,02/12/2024|Cyberscope,No,,,,No,No,,,85.87%,0.00%
defi-app,DeFi.app,84.12,$106.04M,$101.55M,,,,2 yrs 3 mos,2024-03-20,1 yrs 0 mos,2025-06-20,1,https://defi.app/,1,https://github.com/defi-app,1,https://twitter.com/defiapp,1,https://discord.com/invite/defiapp,1,https://t.me/OfficialDefiApp,Bsc,1,01/10/2025|Pashov,No,,,,No,No,,,73.41%,0.00%
rolldex,RollX,83.78,$12.85M,$475.48K,,,,2 yrs 3 mos,2024-03-20,0 yrs 0 mos,2026-06-20,1,https://rollx.trade/,0,,1,https://x.com/rollxfi,0,,0,,Bsc | Base,0,,Yes,1,,,No,No,,,94.90%,0.00%
cow-protocol,CoW DAO,83.74,$88.99M,$4.36M,,,,9 yrs 5 mos,2017-01-20,4 yrs 4 mos,2022-02-20,1,https://cow.fi/,1,https://github.com/gnosis/cowswap,1,https://x.com/CoWSwap,0,,0,,Ethereum | Bsc,0,,No,,,,No,No,,,4.62%,0.00%
kyberswap,Kyber Network,83.72,$24.41M,$2.43M,$0,$0,$12.06B,9 yrs 1 mos,2017-05-20,5 yrs 2 mos,2021-04-20,1,https://kyberswap.com/swap,1,https://github.com/kybernetwork,1,https://twitter.com/KyberNetwork,0,,0,,Arbitrum | Base,2,07/19/2021|Verichains; 05/18/2021|Hacken,No,,,,No,No,,,51.70%,0.00%
tevaera,Tevaera,83.66,$264.66K,$14.07K,,,,5 yrs 2 mos,2021-04-20,0 yrs 0 mos,2026-06-20,1,https://tevaera.com/,0,,1,https://twitter.com/tevaera,0,,0,,Zksync,0,,No,,,,No,No,,,39.33%,0.00%
vinuchain,VinuChain,83.98,$297.17K,$29.70K,,,,2 yrs 11 mos,2023-07-20,2 yrs 9 mos,2023-09-20,1,https://www.vinuchain.org/,1,https://github.com/VinuChain/,1,https://twitter.com/vinuchain,1,https://discord.com/invite/vinu,1,https://t.me/vitainu,Bsc,0,,No,,,,,,,,85.46%,0.00%
origin,ORIGIN,83.50,,$8.09M,,,,2 yrs 3 mos,2024-03-20,2 yrs 3 mos,2024-03-20,1,https://originworld.org/,1,https://github.com/OriginBank,1,https://twitter.com/SaluteOrigin,0,,1,https://t.me/SaluteOriginChat,Polygon,0,,Yes,2,,,No,No,,,88.36%,0.00%
aark,Aark Digital,83.27,$214.13K,$1.04K,,,,2 yrs 2 mos,2024-04-20,2 yrs 2 mos,2024-04-20,1,https://aark.digital/,0,,1,https://twitter.com/aark_digital,1,https://discord.com/invite/aarkdigital,0,,Arbitrum,2,04/25/2023|Hacken; 04/25/2023|Hacken,No,,,,No,No,,,,
sxp,SXP,83.10,$482.68K,$34.07K,,,,6 yrs 10 mos,2019-08-20,6 yrs 10 mos,2019-08-20,1,https://solar.org/,1,https://github.com/Solar-network,1,https://twitter.com/SolarNetwork,0,,1,https://t.me/Solar,Ethereum | Bsc,0,,Yes,1,,,No,No,,,91.18%,0.00%
gmx,GMX,83.16,$58.33M,$3.67M,"$1,560.00","$47,124.00",$23.14B,5 yrs 1 mos,2021-05-20,4 yrs 11 mos,2021-07-20,0,,1,https://github.com/gmx-io,1,https://x.com/GMX_IO,0,,1,https://t.me/GMX_IO,Arbitrum | Avalanche,6,11/13/2023|Certora; 11/06/2023|Abdk; 04/25/2023|Sherlock; 11/20/2022|Dedaub; 09/14/2022|QuantStamp; 08/01/2022|,No,,,,No,No,75,4M,90.04%,0.00%
minswap,Minswap,83.08,$5.12M,$82.96K,"$686,256.00",$4.74M,$4.52B,5 yrs 3 mos,2021-03-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/minswap,1,https://x.com/MinswapDEX,1,https://discord.com/invite/ZjB8ZBhkbm,0,,Cardano,0,,Yes,3,,,No,No,,,,
reef-finance,Reef,83.09,$1.99M,$1.21M,,,,5 yrs 6 mos,2020-12-20,5 yrs 6 mos,2020-12-20,1,https://reef.io/,1,https://github.com/reef-chain,1,https://twitter.com/reef_chain,0,,1,https://t.me/reefchain,Bsc | Ethereum,0,,Yes,1,,,No,No,,,19.50%,0.00%
kiloex,KiloEx,82.99,$870.76K,$163.02K,,,,2 yrs 2 mos,2024-04-20,1 yrs 3 mos,2025-03-20,0,,1,https://github.com/KiloExPerp,1,https://twitter.com/KiloEx_perp,0,,1,https://t.me/KiloEx,Opbnb | Bsc,2,04/21/2025|Slowmist; 07/13/2023|Ancilia,No,,,,No,No,,,81.16%,0.00%
